"New International Student Enrollment, 2008/09 - 2024/25",,,,,,
,,,,,,
,Undergraduate,Graduate,Non-Degree,,Total,% change
2015,"112,765","121,637","59,364",,"293,766",-2.319920996
2016,"119,262","126,516","54,965",,"300,743",2.375019573
2017,"115,841","124,888","50,107",,"290,836",-3.294174761
2018,"108,539","117,960","45,239",,"271,738",-6.566587355
2019,"106,881","119,828","42,674","269,383","269,383",-0.8666436052
2020,"104,907","120,332","42,473",,"267,712",-0.6203064039
2021,"69,183","66,082","10,263",,"145,528",-45.64009084
2022,"90,642","146,526","24,793",,"261,961",80.00728382
2023,"95,681","168,920","33,922",,"298,523",13.95703941
2024,"93,978","176,084","28,643",,"298,705",0.06096682668
2025,"98,963","150,536","27,619",,"277,118",-7.226862624
